action_resource_type_id,action_id,resource_type_id,required_flag,dependent_actions
15964,11017,1150,true,"[iam:CreateServiceLinkedRole, iam:PassRole, imagebuilder:GetContainerRecipe, imagebuilder:GetDistributionConfiguration, imagebuilder:GetImageRecipe, imagebuilder:GetInfrastructureConfiguration, imagebuilder:GetWorkflow, imagebuilder:TagResource]"
15965,11018,1148,true,"[ec2:DescribeImages, iam:CreateServiceLinkedRole, imagebuilder:GetComponent, imagebuilder:GetImage, imagebuilder:TagResource]"
15966,11019,1151,true,"[iam:CreateServiceLinkedRole, iam:PassRole, imagebuilder:TagResource, sns:Publish]"
15967,11020,1154,true,"[iam:PassRole, imagebuilder:TagResource]"
15968,11021,1155,true,"[imagebuilder:TagResource, kms:Encrypt, kms:GenerateDataKey, kms:GenerateDataKeyWithoutPlaintext, s3:GetObject, s3:ListBucket]"
15969,11022,1143,true,[]
15970,11023,1149,true,[]
15971,11024,1145,true,[]
15972,11025,1146,true,[]
15973,11026,1150,true,[]
15974,11027,1148,true,[]
15975,11028,1151,true,[]
15976,11029,1154,true,[]
15977,11030,1155,true,[]
15978,11031,1143,true,[kms:Decrypt]
15979,11032,1143,true,[]
15980,11033,1149,true,[]
15981,11034,1149,true,[]
15982,11035,1145,true,[]
15983,11036,1146,true,[]
15984,11037,1150,true,[]
15985,11038,1146,true,[]
15986,11039,1148,true,[]
15987,11040,1148,true,[]
15988,11041,1151,true,[]
15989,11042,1153,true,[]
15990,11043,1154,true,[]
15991,11044,1155,true,[kms:Decrypt]
15992,11045,1157,true,[]
15993,11046,1158,true,[]
15994,11047,1143,true,"[iam:CreateServiceLinkedRole, imagebuilder:TagResource, kms:Encrypt, kms:GenerateDataKey, kms:GenerateDataKeyWithoutPlaintext]"
15995,11048,1147,true,"[ec2:DescribeImages, ec2:DescribeImportImageTasks, iam:CreateServiceLinkedRole]"
15996,11049,1144,true,[]
15997,11050,2181,false,[]
15998,11051,2181,false,[]
15999,11052,2181,false,[]
16000,11053,1147,true,[]
16001,11054,1146,true,[]
16002,11055,1150,true,[]
16003,11056,2181,false,[]
16004,11057,2181,false,[]
16005,11058,1146,false,[]
16006,11058,1150,false,[]
16007,11059,1146,false,[inspector2:ListFindings]
16008,11059,1150,false,[]
16009,11060,2181,false,[]
16010,11061,2181,false,[]
16011,11062,1153,true,[]
16012,11063,1146,false,[]
16013,11063,1154,false,[]
16014,11064,2181,false,[]
16015,11065,1143,false,[]
16016,11065,1149,false,[]
16017,11065,1145,false,[]
16018,11065,1146,false,[]
16019,11065,1150,false,[]
16020,11065,1148,false,[]
16021,11065,1151,false,[]
16022,11065,1154,false,[]
16023,11065,1155,false,[]
16024,11066,2181,false,[]
16025,11067,1156,true,[]
16026,11068,1146,true,[]
16027,11069,1157,true,[]
16028,11070,2181,false,[]
16029,11071,1143,true,[]
16030,11072,1149,true,[]
16031,11073,1146,true,[]
16032,11074,1148,true,[]
16033,11075,1146,true,[]
16034,11075,1158,true,[]
16035,11076,1150,true,"[iam:CreateServiceLinkedRole, imagebuilder:GetImagePipeline]"
16036,11077,1146,true,[]
16037,11078,1143,false,[]
16038,11078,1149,false,[]
16039,11078,1145,false,[]
16040,11078,1146,false,[]
16041,11078,1150,false,[]
16042,11078,1148,false,[]
16043,11078,1151,false,[]
16044,11078,1154,false,[]
16045,11078,1155,false,[]
16046,11079,1143,false,[]
16047,11079,1149,false,[]
16048,11079,1145,false,[]
16049,11079,1146,false,[]
16050,11079,1150,false,[]
16051,11079,1148,false,[]
16052,11079,1151,false,[]
16053,11079,1154,false,[]
16054,11079,1155,false,[]
16055,11080,1145,true,[]
16056,11081,1150,true,"[iam:CreateServiceLinkedRole, iam:PassRole, imagebuilder:GetContainerRecipe, imagebuilder:GetDistributionConfiguration, imagebuilder:GetImageRecipe, imagebuilder:GetInfrastructureConfiguration, imagebuilder:GetWorkflow]"
16057,11082,1151,true,"[iam:PassRole, sns:Publish]"
16058,11083,1154,true,[iam:PassRole]
16059,11084,1160,true,[]
16060,11084,1160,false,[]
16061,11085,1159,true,[]
16062,11085,1980,false,[]
16063,11086,1159,true,[]
16064,11087,1161,true,[]
16065,11088,1162,true,[iam:PassRole]
16066,11089,1162,true,[iam:PassRole]
16067,11090,1163,true,[]
16068,11091,2182,false,[]
16069,11092,1162,true,[]
16070,11093,1162,true,[]
