action_dependent_action_id,action_resource_type_id,action_id,dependent_action_id
1762,2411,1845,1814
1763,2859,2126,8968
1764,2870,2136,8968
1765,2870,2136,9031
1766,2870,2136,9229
1767,2873,2139,8968
1768,2873,2139,9031
1769,2873,2139,9229
1770,3028,2253,2274
1771,3044,2268,2274
1772,3091,2304,2274
1773,3144,2333,9031
1774,3159,2341,2364
1775,3207,2365,2364
1776,1883,1435,4542
1777,3103,2312,8964
1778,3103,2312,8968
1779,3103,2312,9010
1780,3103,2312,9087
1781,3103,2312,9198
1782,3103,2312,9248
1783,3073,2291,3390
1784,1881,1433,1438
1785,8421,6113,9229
1786,8421,6113,8004
1787,9028,6684,13434
1788,9823,7151,7125
1789,9824,7152,7123
1790,9824,7152,7125
1791,9824,7152,7127
1792,11443,8380,10993
1793,11443,8380,13355
1794,9830,7156,7125
1795,9830,7156,7127
1796,11861,8551,10993
1797,11861,8551,13355
1798,9123,6762,13434
1799,10194,7405,7954
1800,11610,8453,3461
1801,11438,8377,11103
1802,11438,8377,11122
1803,11742,8511,2129
1804,11742,8511,2133
1805,16636,11478,9031
1806,16636,11478,9229
1807,17004,11741,7954
1808,17085,11806,13355
1809,17085,11806,13434
1810,17177,11851,3180
1811,17231,11895,9248
1812,17287,11934,11909
1813,18302,12685,4421
1814,18436,12769,4421
1815,19133,13265,9229
1816,20363,14051,4487
1817,20363,14051,13422
1818,17291,11936,11909
1819,20367,14055,10093
1820,20369,14057,2997
1821,18485,12794,4421
1822,18542,12817,12813
1823,19141,13271,9229
1824,19210,13319,9229
1825,16857,11638,4704
1826,18429,12765,4421
1827,19145,13275,9229
1828,17122,11827,9229
1829,20385,14073,4487
1830,20385,14073,13422
1831,19125,13259,9229
1832,17311,11943,2129
1833,5488,3990,3709
1834,5506,3997,3709
1835,5707,4137,3609
1836,5707,4137,3624
1837,5707,4137,3674
1838,5707,4137,3709
1839,5707,4137,3710
1840,5912,4274,4272
1841,5964,4297,3709
1842,5967,4299,3709
1843,6450,4660,2344
1844,7534,5441,13434
1845,7553,5459,5916
1846,7553,5459,5925
1847,7574,5480,5916
1848,7575,5481,2715
1849,7575,5481,5925
1850,7957,5729,5793
1851,4352,3146,2129
1852,6004,4328,3709
1853,6445,4656,2365
1854,5724,4154,3699
1855,5724,4154,3709
1856,5724,4154,3710
1857,13923,9602,4420
1858,13923,9602,4421
1859,13927,9604,9619
1860,14081,9695,8968
1861,14113,9706,9229
1862,14113,9706,9694
1863,14128,9709,9694
1864,14136,9712,9229
1865,14210,9748,9229
1866,14222,9752,9694
1867,16266,11201,11194
1868,13956,9628,4420
1869,13956,9628,4421
1870,14104,9702,9694
1871,14141,9715,9229
1872,14095,9700,13355
1873,14095,9700,13434
1874,14097,9701,9229
1875,14097,9701,9694
1876,14133,9711,9229
1877,12380,8902,9229
1878,20687,14269,13434
1879,21234,14717,4421
1880,21229,14713,4421
1881,20787,14347,7954
1882,4426,3201,3182
1883,5704,4135,3609
1884,5704,4135,3674
1885,5704,4135,3710
1886,5717,4147,3710
1887,5723,4153,3709
1888,5723,4153,3710
1889,6007,4330,3709
1890,6447,4657,9229
1891,5709,4139,3699
1892,7530,5437,5925
1893,12287,8833,4421
1894,12354,8884,8895
1895,12354,8884,8881
1896,14085,9696,9229
1897,14108,9704,9694
1898,14126,9708,9694
1899,14144,9717,9229
1900,14185,9741,9229
1901,14215,9749,9229
1902,16154,11107,11048
1903,16154,11107,11050
1904,16154,11107,11051
1905,16154,11107,11054
1906,16210,11159,11095
1907,16210,11159,11051
1908,16210,11159,11054
1909,16265,11200,11194
1910,14106,9703,9694
1911,16158,11110,11051
1912,16158,11110,11054
1913,16243,11183,11194
1914,12356,8885,8895
1915,13920,9601,4421
1916,14122,9707,13355
1917,14122,9707,13434
1918,14243,9759,9229
1919,21300,14767,14777
1920,20861,14383,8004
1921,654,427,3390
1922,685,458,8964
1923,685,458,8968
1924,685,458,9031
1925,685,458,9087
1926,685,458,9198
1927,685,458,9248
1928,688,460,9010
1929,688,460,13434
1930,690,462,8964
1931,690,462,8968
1932,690,462,9248
1933,690,462,9087
1934,1118,773,8094
1935,1178,824,7954
1936,1178,824,8004
1937,1206,847,13434
1938,2373,1813,1843
1939,2428,1850,1887
1940,2437,1858,1890
1941,2866,2132,8968
1942,3032,2256,9031
1943,3216,2368,2364
1944,2480,1887,1850
1945,2877,2143,9229
1946,3145,2334,9031
1947,3214,2367,2364
1948,3076,2293,2274
1949,3119,2320,2274
1950,3106,2314,9010
1951,3106,2314,13434
1952,10248,7442,13355
1953,11749,8516,8441
1954,12279,8830,4421
1955,8521,6187,7954
1956,10389,7549,7954
1957,11479,8396,8664
1958,11757,8520,8447
1959,11478,8395,2129
1960,11478,8395,2133
1961,12263,8821,4421
1962,12263,8821,5702
1963,11029,8079,1250
1964,17091,11810,9229
1965,17933,12446,13434
1966,18287,12681,4421
1967,18507,12798,4421
1968,20362,14050,13434
1969,20366,14054,4490
1970,20373,14061,10093
1971,20373,14061,4490
1972,20374,14062,4490
1973,20387,14075,10093
1974,20388,14076,13422
1975,17075,11802,13355
1976,17155,11835,9229
1977,9830,7156,7123
1978,17229,11894,9222
1979,5915,4275,4272
1980,7574,5480,5925
1981,7575,5481,5916
1982,5886,4259,4272
1983,4425,3200,3181
1984,6447,4657,9912
1985,7530,5437,5916
1986,12287,8833,5702
1987,12356,8885,8881
1988,685,458,9010
1989,687,459,13434
1990,690,462,9198
1991,1118,773,8069
1992,2866,2132,9031
1993,2866,2132,9229
1994,571,351,352
1995,3021,2249,9010
1996,3210,2366,2364
1997,2436,1857,1889
1998,12264,8822,5702
1999,8521,6187,8004
2000,11029,8079,13431
2001,20388,14076,10093
2002,14095,9700,9694
2003,5717,4147,3709
2004,4645,3378,2129
2005,14122,9707,9694
2006,12264,8822,4421
2007,17070,11800,9229
2008,18536,12814,12813
2009,20362,14050,4421
2010,20374,14062,10093
2011,6448,4658,2369
2012,5704,4135,3709
2013,6447,4657,2341
2014,13920,9601,4420
2015,690,462,9031
2016,11029,8079,1240
2017,3053,2277,13434
2018,12279,8830,5702
2019,6449,4659,2369
2020,20388,14076,13431
2021,690,462,9010
2022,20366,14054,13434
2023,17075,11802,13434
2024,17179,11853,3184
2025,17179,11853,3210
2026,17239,11899,2152
2027,17239,11899,3506
2028,17307,11939,9291
2029,18299,12684,12669
2030,18319,12690,12669
2031,18451,12779,3506
2032,18457,12784,12785
2033,19163,13293,9293
2034,19886,13727,3506
2035,19890,13729,13691
2036,16957,11698,9283
2037,16957,11698,9293
2038,16957,11698,3509
2039,17174,11848,3260
2040,17174,11848,3147
2041,17174,11848,3184
2042,17174,11848,3189
2043,17233,11896,9023
2044,17233,11896,11920
2045,18273,12676,12669
2046,19156,13286,9293
2047,19204,13313,9293
2048,16860,11641,3163
2049,17243,11902,9110
2050,17243,11902,9146
2051,17243,11902,9434
2052,19833,13699,13691
2053,16874,11653,9245
2054,18212,12642,12613
2055,17098,11813,9022
2056,17098,11813,9257
2057,18277,12678,12669
2058,18313,12687,12669
2059,18463,12789,3506
2060,19727,13635,3506
2061,18512,12799,3506
2062,19846,13706,13691
2063,17079,11804,9022
2064,17079,11804,9257
2065,17079,11804,11832
2066,19441,13441,3506
2067,19175,13305,9293
2068,17179,11853,3260
2069,17239,11899,10201
2070,18276,12677,12669
2071,19844,13705,13691
2072,19881,13724,13691
2073,16957,11698,9038
2074,16957,11698,9060
2075,16957,11698,9291
2076,16957,11698,3393
2077,17174,11848,3210
2078,17233,11896,11911
2079,17243,11902,9414
2080,17925,12438,3506
2081,19841,13703,13691
2082,19920,13746,3506
2083,16874,11653,3406
2084,19893,13731,13691
2085,17098,11813,9101
2086,19867,13716,13691
2087,17079,11804,9293
2088,16961,11702,9291
2089,17307,11939,9221
2090,17307,11939,9257
2091,17915,12428,3506
2092,19208,13317,9293
2093,19881,13724,3506
2094,19886,13727,13691
2095,17174,11848,3211
2096,19920,13746,13691
2097,16874,11653,9257
2098,19893,13731,3506
2099,17098,11813,9293
2100,17284,11931,3260
2101,17079,11804,9101
2102,17307,11939,9240
2103,19844,13705,3506
2104,16957,11698,9257
2105,16957,11698,3406
2106,17239,11899,9245
2107,20282,13998,3506
2108,18512,12799,12669
2109,18942,13114,9293
2110,19841,13703,3506
2111,17246,11904,3163
2112,18241,12665,3506
2113,19867,13716,3506
2114,17233,11896,9022
2115,16957,11698,9245
2116,16961,11702,9138
2117,17079,11804,13379
2118,605,382,360
2119,1889,1441,9859
2120,3159,2341,2335
2121,3207,2365,2335
2122,3103,2312,9512
2123,17177,11851,3204
2124,17290,11935,3154
2125,16256,11193,13195
2126,21296,14763,10982
2127,12268,8824,9454
2128,21225,14711,10982
2129,685,458,9512
2130,1882,1434,9859
2131,2430,1852,1888
2132,3216,2368,2335
2133,3214,2367,2335
2134,12264,8822,9454
2135,12279,8830,9454
2136,11479,8396,7154
2137,12263,8821,9454
2138,17237,11898,3154
2139,16858,11639,3154
2140,16858,11639,9370
2141,11040,8085,1268
2142,5476,3981,3175
2143,690,462,9512
2144,2877,2143,9512
2145,3210,2366,2335
2146,11613,8455,4557
2147,5476,3981,3154
2148,5792,4199,3175
2149,17175,11849,3154
2150,12266,8823,9454
2151,5792,4199,3154
2152,12287,8833,9454
2153,16858,11639,3175
2154,2367,1807,1842
2155,688,460,411
2156,2412,1846,1815
2157,687,459,411
2158,17307,11939,9222
2159,17079,11804,9229
2160,17239,11899,2129
2161,17098,11813,9229
2162,17233,11896,11909
2163,17174,11848,3204
2164,16874,11653,9370
