resource_type_id,service_id,name,reference_url,arn_pattern
903,244,GatewayResponses,https://docs.aws.amazon.com/apigateway/latest/api/API_GatewayResponse.html,arn:${Partition}:apigateway:${Region}::/restapis/${RestApiId}/gatewayresponses
904,244,Integration,https://docs.aws.amazon.com/apigateway/latest/api/API_Integration.html,arn:${Partition}:apigateway:${Region}::/restapis/${RestApiId}/resources/${ResourceId}/methods/${HttpMethodType}/integration
905,244,IntegrationResponse,https://docs.aws.amazon.com/apigateway/latest/api/API_IntegrationResponse.html,arn:${Partition}:apigateway:${Region}::/restapis/${RestApiId}/resources/${ResourceId}/methods/${HttpMethodType}/integration/responses/${StatusCode}
906,244,Method,https://docs.aws.amazon.com/apigateway/latest/api/API_Method.html,arn:${Partition}:apigateway:${Region}::/restapis/${RestApiId}/resources/${ResourceId}/methods/${HttpMethodType}
907,244,MethodResponse,https://docs.aws.amazon.com/apigateway/latest/api/API_MethodResponse.html,arn:${Partition}:apigateway:${Region}::/restapis/${RestApiId}/resources/${ResourceId}/methods/${HttpMethodType}/responses/${StatusCode}
908,244,Model,https://docs.aws.amazon.com/apigateway/latest/api/API_Model.html,arn:${Partition}:apigateway:${Region}::/restapis/${RestApiId}/models/${ModelName}
909,244,Models,https://docs.aws.amazon.com/apigateway/latest/api/API_Model.html,arn:${Partition}:apigateway:${Region}::/restapis/${RestApiId}/models
910,244,PrivateBasePathMapping,https://docs.aws.amazon.com/apigateway/latest/api/API_BasePathMapping.html,arn:${Partition}:apigateway:${Region}::/domainnames/${DomainName}+${DomainIdentifier}/basepathmappings/${BasePath}
911,244,PrivateBasePathMappings,https://docs.aws.amazon.com/apigateway/latest/api/API_BasePathMapping.html,arn:${Partition}:apigateway:${Region}::/domainnames/${DomainName}+${DomainIdentifier}/basepathmappings
912,244,PrivateDomainName,https://docs.aws.amazon.com/apigateway/latest/api/API_DomainName.html,arn:${Partition}:apigateway:${Region}:${Account}:/domainnames/${DomainName}+${DomainIdentifier}
913,244,RequestValidator,https://docs.aws.amazon.com/apigateway/latest/api/API_RequestValidator.html,arn:${Partition}:apigateway:${Region}::/restapis/${RestApiId}/requestvalidators/${RequestValidatorId}
914,244,RequestValidators,https://docs.aws.amazon.com/apigateway/latest/api/API_RequestValidator.html,arn:${Partition}:apigateway:${Region}::/restapis/${RestApiId}/requestvalidators
